名称,请求方式,地址,说明,支持自建应用,支持商店应用,文档链接
启用/停用地点,POST,/open-apis/corehr/v2/locations/active,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/location/active
删除地点,DELETE,/open-apis/corehr/v1/locations/:location_id,删除地点。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/location/delete
删除地点地址,DELETE,/open-apis/corehr/v2/locations/:location_id/addresses/:address_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/location-address/delete
更新地点地址,PATCH,/open-apis/corehr/v2/locations/:location_id/addresses/:address_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/location-address/patch
添加地点地址,POST,/open-apis/corehr/v2/locations/:location_id/addresses,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/location-address/create
创建公司,POST,/open-apis/corehr/v1/companies,创建公司。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/company/create
更新公司,PATCH,/open-apis/corehr/v1/companies/:company_id,,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/company/patch
启用/停用公司,POST,/open-apis/corehr/v2/companies/active,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/company/active
查询单个公司,GET,/open-apis/corehr/v1/companies/:company_id,根据 ID 查询单个公司。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/company/get
批量查询公司,GET,/open-apis/corehr/v1/companies,批量查询公司。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/company/list
查询当前生效信息变更公司,GET,/open-apis/corehr/v2/companies/query_recent_change,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/company/query_recent_change
通过公司 ID 批量获取公司信息,POST,/open-apis/corehr/v2/companies/batch_get,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/company/batch_get
删除公司,DELETE,/open-apis/corehr/v1/companies/:company_id,删除公司。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/corehr-v1/company/delete
创建成本中心,POST,/open-apis/corehr/v2/cost_centers,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/cost_center/create
启用 / 停用成本中心,PATCH,/open-apis/corehr/v2/cost_centers/:cost_center_id,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/cost_center/patch
查询当前生效信息发生变更的成本中心,GET,/open-apis/corehr/v2/cost_centers/query_recent_change,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/cost_center/query_recent_change
搜索成本中心信息,POST,/open-apis/corehr/v2/cost_centers/search,,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/corehr-v2/cost_center/search
