名称,请求方式,地址,说明,支持自建应用,支持商店应用,文档链接
上传素材,POST,/open-apis/drive/v1/medias/upload_all,将文件、图片、视频等素材文件上传到指定云文档中。素材文件在云空间中不会显示，只会显示在对应云文档中。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/media/upload_all
分片上传素材-预上传,POST,/open-apis/drive/v1/medias/upload_prepare,发送初始化请求获取上传事务ID和分块策略，目前是以4MB大小进行定长分片。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/media/upload_prepare
分片上传素材-上传分片,POST,/open-apis/drive/v1/medias/upload_part,上传对应的文件块。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/media/upload_part
分片上传素材-完成上传,POST,/open-apis/drive/v1/medias/upload_finish,触发完成上传。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/media/upload_finish
下载素材,GET,/open-apis/drive/v1/medias/:file_token/download,下载各种类型文档中的素材，比如电子表格中的图片，支持指定`range`进行分片下载。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/media/download
获取素材临时下载链接,GET,/open-apis/drive/v1/medias/batch_get_tmp_download_url,通过`file_tokens`获取素材临时下载链接，链接时效性是 24 小时，过期失效。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/media/batch_get_tmp_download_url
创建文档版本,POST,/open-apis/drive/v1/files/:file_token/versions,创建文档版本。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file-version/create
获取文档版本列表,GET,/open-apis/drive/v1/files/:file_token/versions,获取文档所有版本。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file-version/list
获取文档版本信息,GET,/open-apis/drive/v1/files/:file_token/versions/:version_id,获取文档版本。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file-version/get
删除文档版本,DELETE,/open-apis/drive/v1/files/:file_token/versions/:version_id,删除文档版本。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file-version/delete
获取云文档的点赞者列表,GET,/open-apis/drive/v2/files/:file_token/likes,,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uIzNzUjLyczM14iM3MTN/drive-v2/file-like/list
订阅云文档事件,POST,/open-apis/drive/v1/files/:file_token/subscribe,该接口仅支持**文档拥有者**订阅自己文档的通知事件，可订阅的文档类型为**旧版文档**、**新版文档**、**电子表格**和**多维表格**。在调用该接口之前请确保正确[配置事件回调网址和订阅事件类型](/ssl:ttdoc/ukTMukTMukTM/uUTNz4SN1MjL1UzM#2eb3504a)(暂不支持单独订阅文档维度的某类事件)，事件类型参考[事件列表](/ssl:ttdoc/ukTMukTMukTM/uYDNxYjL2QTM24iN0EjN/event-list)。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/subscribe
查询云文档事件订阅状态,GET,/open-apis/drive/v1/files/:file_token/get_subscribe,该接口**仅支持文档拥有者**查询自己文档的订阅状态，可订阅的文档类型为**旧版文档**、**新版文档**、**电子表格**和**多维表格**。在调用该接口之前请确保正确[配置事件回调网址和订阅事件类型](/ssl:ttdoc/ukTMukTMukTM/uUTNz4SN1MjL1UzM#2eb3504a)，事件类型参考[事件列表](/ssl:ttdoc/ukTMukTMukTM/uYDNxYjL2QTM24iN0EjN/event-list)。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/get_subscribe
取消云文档事件订阅,DELETE,/open-apis/drive/v1/files/:file_token/delete_subscribe,该接口**仅支持文档拥有者**取消订阅自己文档的通知事件，可订阅的文档类型为**旧版文档**、**新版文档**、**电子表格**和**多维表格**。暂时无法指定取消的具体事件类型，事件类型以开发者后台为准。在调用该接口之前请确保正确[配置事件回调网址和订阅事件类型](/ssl:ttdoc/ukTMukTMukTM/uUTNz4SN1MjL1UzM#2eb3504a)，事件类型参考[事件列表](/ssl:ttdoc/ukTMukTMukTM/uYDNxYjL2QTM24iN0EjN/event-list)。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/delete_subscribe
获取知识空间列表,GET,/open-apis/wiki/v2/spaces,此接口用于获取有权限访问的知识空间列表。  此接口为分页接口。由于权限过滤，可能返回列表为空，但分页标记（has_more）为true，可以继续分页请求。  对于知识空间各项属性描述请参阅[获取知识空间信息](/ssl:ttdoc/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/get),是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/list
获取知识空间信息,GET,/open-apis/wiki/v2/spaces/:space_id,此接口用于根据知识空间ID来查询知识空间的信息。  空间类型（type）： - 个人空间：归个人管理。一人仅可拥有一个个人空间，无法添加其他管理员。 - 团队空间：归团队（多人)管理，可添加多个管理员。  空间可见性（visibility）： - 公开空间：租户所有用户可见，默认为成员权限。无法额外添加成员，但可以添加管理员。 - 私有空间：仅对知识空间管理员、成员可见，需要手动添加管理员、成员。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/get
创建知识空间,POST,/open-apis/wiki/v2/spaces,此接口用于创建知识空间,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/create
获取知识空间成员列表,GET,/open-apis/wiki/v2/spaces/:space_id/members,,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-member/list
添加知识空间成员,POST,/open-apis/wiki/v2/spaces/:space_id/members,添加知识空间成员或管理员。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-member/create
删除知识空间成员,DELETE,/open-apis/wiki/v2/spaces/:space_id/members/:member_id,此接口用于删除知识空间成员或管理员。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-member/delete
更新知识空间设置,PUT,/open-apis/wiki/v2/spaces/:space_id/setting,根据space_id更新知识空间公共设置,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-setting/update
创建知识空间节点,POST,/open-apis/wiki/v2/spaces/:space_id/nodes,此接口用于在知识节点里创建[节点](/ssl:ttdoc/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-overview)到指定位置。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/create
获取知识空间节点信息,GET,/open-apis/wiki/v2/spaces/get_node,获取知识空间节点信息,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/get_node
获取知识空间子节点列表,GET,/open-apis/wiki/v2/spaces/:space_id/nodes,此接口用于分页获取Wiki节点的子节点列表。  此接口为分页接口。由于权限过滤，可能返回列表为空，但分页标记（has_more）为true，可以继续分页请求。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/list
移动知识空间节点,POST,/open-apis/wiki/v2/spaces/:space_id/nodes/:node_token/move,此方法用于在Wiki内移动节点，支持跨知识空间移动。如果有子节点，会携带子节点一起移动。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/move
更新知识空间节点标题,POST,/open-apis/wiki/v2/spaces/:space_id/nodes/:node_token/update_title,此接口用于更新节点标题,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/update_title
创建知识空间节点副本,POST,/open-apis/wiki/v2/spaces/:space_id/nodes/:node_token/copy,此接口用于在知识空间创建节点副本到指定位置。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/copy
移动云空间文档至知识空间,POST,/open-apis/wiki/v2/spaces/:space_id/nodes/move_docs_to_wiki,该接口允许移动云空间文档至知识空间，并挂载在指定位置,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/move_docs_to_wiki
获取任务结果,GET,/open-apis/wiki/v2/tasks/:task_id,该方法用于获取wiki异步任务的结果,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/task/get
搜索 Wiki,POST,/open-apis/wiki/v1/nodes/search,搜索 Wiki，用户通过关键词查询 Wiki，只能查找自己可见的 wiki。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uEzN0YjLxcDN24SM3QjN/search_wiki
创建文档,POST,/open-apis/docx/v1/documents,创建新版文档，文档标题和目录可选。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document/create
获取文档基本信息,GET,/open-apis/docx/v1/documents/:document_id,获取文档最新版本号、标题等,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document/get
获取文档纯文本内容,GET,/open-apis/docx/v1/documents/:document_id/raw_content,获取文档的纯文本内容。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document/raw_content
获取文档所有块,GET,/open-apis/docx/v1/documents/:document_id/blocks,获取文档所有块的富文本内容并分页返回。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block/list
创建块,POST,/open-apis/docx/v1/documents/:document_id/blocks/:block_id/children,在指定块的子块列表中，新创建一批子块，并放置到指定位置。如果操作成功，接口将返回新创建子块的富文本内容。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block-children/create
创建嵌套块,POST,/open-apis/docx/v1/documents/:document_id/blocks/:block_id/descendant,在指定块的子块列表中，新创建一批有父子关系的子块，并放置到指定位置。如果操作成功，接口将返回新创建子块的富文本内容。调用该接口前，你可参考[文档概述-基本概念](/ssl:ttdoc/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-overview)了解块的父子关系规则。当创建的子块中含有 GridColumn、TableCell、Callout 时其中至少需要包含一个子块 ，即内容为空时也需要填入一个空 Text Block 作为子块。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block-descendant/create
更新块的内容,PATCH,/open-apis/docx/v1/documents/:document_id/blocks/:block_id,更新指定块的内容。如果操作成功，接口将返回更新后的块的富文本内容。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block/patch
获取块的内容,GET,/open-apis/docx/v1/documents/:document_id/blocks/:block_id,指定块的 block id 获取指定块的富文本内容数据。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block/get
批量更新块的内容,PATCH,/open-apis/docx/v1/documents/:document_id/blocks/batch_update,批量更新块的富文本内容。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block/batch_update
获取所有子块,GET,/open-apis/docx/v1/documents/:document_id/blocks/:block_id/children,获取文档中指定块的所有子块的富文本内容并分页返回。文档版本号可选。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block-children/get
删除块,DELETE,/open-apis/docx/v1/documents/:document_id/blocks/:block_id/children/batch_delete,指定需要操作的块，删除其指定范围的子块。如果操作成功，接口将返回应用删除操作后的文档版本号。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block-children/batch_delete
Markdown/HTML 内容转换为文档块,POST,/open-apis/docx/documents/blocks/convert,将 Markdown/HTML 格式的内容转换为文档块，以便于将 Markdown/HTML 格式的内容插入到文档中。目前支持转换为的块类型包含文本、一到九级标题、无序列表、有序列表、代码块、引用、待办事项、图片、表格、表格单元格。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document/convert
创建电子表格,POST,/open-apis/sheets/v3/spreadsheets,在指定目录下创建表格,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet/create
修改电子表格属性,PATCH,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token,该接口用于修改电子表格的属性,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet/patch
获取电子表格信息,GET,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token,该接口用于获取电子表格的基础信息。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet/get
操作工作表,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/sheets_batch_update,根据 spreadsheetToken 更新工作表属性。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uYTMzUjL2EzM14iNxMTN
更新工作表属性,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/sheets_batch_update,根据 spreadsheetToken 更新工作表属性。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/ugjMzUjL4IzM14COyMTN
获取工作表,GET,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/query,该接口用于获取电子表格下所有工作表及其属性。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet/query
查询工作表,GET,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id,该接口用于通过工作表ID查询工作表属性信息。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet/get
增加行列,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/dimension_range,根据 spreadsheetToken 和长度，在末尾增加空行/列；单次操作不超过5000行或列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUjMzUjL1IzM14SNyMTN
插入行列,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/insert_dimension_range,根据 spreadsheetToken 和维度信息 插入空行/列。如 startIndex=3， endIndex=7，则从第 4 行开始开始插入行列，一直到第 7 行，共插入 4 行；单次操作不超过5000行或列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uQjMzUjL0IzM14CNyMTN
更新行列,PUT,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/dimension_range,根据 spreadsheetToken 和维度信息更新隐藏行列、单元格大小；单次操作不超过5000行或列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uYjMzUjL2IzM14iNyMTN
移动行列,POST,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/move_dimension,该接口用于移动行列，行列被移动到目标位置后，原本在目标位置的行列会对应右移或下移。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet/move_dimension
删除行列,DELETE,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/dimension_range,该接口用于根据 spreadsheetToken 和维度信息删除行/列 。单次删除最大5000行/列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/ucjMzUjL3IzM14yNyMTN
合并单元格,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/merge_cells,根据 spreadsheetToken 和维度信息合并单元格；单次操作不超过5000行，100列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/ukDNzUjL5QzM14SO0MTN
拆分单元格,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/unmerge_cells,根据 spreadsheetToken 和维度信息拆分单元格；单次操作不超过5000行，100列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATNzUjLwUzM14CM1MTN
查找单元格,POST,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/find,在指定范围内查找符合查找条件的单元格。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet/find
替换单元格,POST,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/replace,按照指定的条件查找子表的某个范围内的数据符合条件的单元格并替换值，返回替换成功的单元格位置。一次请求最多允许替换5000个单元格，如果超过请将range缩小范围再操作。请求体中的 range、find、replaccement 字段必填。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet/replace
设置单元格样式 ,PUT,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/style,根据 spreadsheetToken 、range 和样式信息更新单元格样式；单次写入不超过5000行，100列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/ukjMzUjL5IzM14SOyMTN
批量设置单元格样式 ,PUT,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/styles_batch_update,根据 spreadsheetToken 、range和样式信息 批量更新单元格样式；单次写入不超过5000行，100列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uAzMzUjLwMzM14CMzMTN
插入数据,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_prepend,根据 spreadsheetToken 和 range 向范围之前增加相应数据的行和相应的数据，相当于数组的插入操作；单次写入不超过5000行，100列，每个格子不超过5万字符。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uIjMzUjLyIzM14iMyMTN
追加数据,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_append,根据 spreadsheetToken 和 range 遇到空行则进行覆盖追加或新增行追加数据。 空行：默认该行第一个格子是空，则认为是空行；单次写入不超过5000行，100列，每个格子不超过5万字符。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uMjMzUjLzIzM14yMyMTN
写入图片,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_image,根据 spreadsheetToken 和 range 向单个格子写入图片。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDNxYjL1QTM24SN0EjN
读取单个范围,GET,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values/:range,根据 spreadsheetToken 和 range 读取表格单个范围的值，返回数据限制为10M。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/ugTMzUjL4EzM14COxMTN
读取多个范围,GET,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_get,根据 spreadsheetToken 和 ranges 读取表格多个范围的值，返回数据限制为10M。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/ukTMzUjL5EzM14SOxMTN
向单个范围写入数据,PUT,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values,根据 spreadsheetToken 和 range 向单个范围写入数据，若范围内有数据，将被更新覆盖；单次写入不超过5000行，100列，每个格子不超过5万字符。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uAjMzUjLwIzM14CMyMTN
向多个范围写入数据,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/values_batch_update,根据 spreadsheetToken 和 range 向多个范围写入数据，若范围内有数据，将被更新覆盖；单次写入不超过5000行，100列，每个格子不超过5万字符。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uEjMzUjLxIzM14SMyMTN
创建筛选,POST,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter,在子表内创建筛选。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter/create
更新筛选,PUT,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter,更新子表筛选范围中的列筛选条件。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter/update
获取筛选,GET,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter,获取子表的详细筛选信息,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter/get
删除筛选,DELETE,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter,删除子表的筛选,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter/delete
创建筛选视图,POST,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views,根据传入的参数创建一个筛选视图。Id 和 名字可选，不填的话会默认生成；range 必填。Id 长度为10，由 0-9、a-z、A-Z 组合生成。名字长度不超过100。单个子表内的筛选视图个数不超过 150。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view/create
更新筛选视图,PATCH,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/:filter_view_id,更新筛选视图的名字或者筛选范围。名字长度不超过100，不能重复即子表内唯一；筛选范围不超过子表的最大范围。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view/patch
查询筛选视图,GET,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/query,查询子表内所有的筛选视图基本信息，包括 id、name 和 range,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view/query
获取筛选视图,GET,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/:filter_view_id,获取指定筛选视图 id 的名字和筛选范围。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view/get
删除筛选视图,DELETE,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/:filter_view_id,删除指定 id 对应的筛选视图。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view/delete
创建筛选条件,POST,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/:filter_view_id/conditions,在筛选视图的筛选范围的某一列创建筛选条件。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view-condition/create
更新筛选条件,PUT,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/:filter_view_id/conditions/:condition_id,更新筛选视图范围的某列的筛选条件，condition id 即为列的字母号。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view-condition/update
查询筛选条件,GET,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/:filter_view_id/conditions/query,查询一个筛选视图的所有筛选条件，返回筛选视图的筛选范围内的筛选条件。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view-condition/query
获取筛选条件,GET,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/:filter_view_id/conditions/:condition_id,获取筛选视图某列的筛选条件信息。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view-condition/get
删除筛选条件,DELETE,/open-apis/sheets/v3/spreadsheets/:spreadsheet_token/sheets/:sheet_id/filter_views/:filter_view_id/conditions/:condition_id,删除筛选视图的筛选范围某一列的筛选条件。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/sheets-v3/spreadsheet-sheet-filter_view-condition/delete
增加保护范围,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/protected_dimension,根据 spreadsheetToken 和维度信息增加多个保护范围；单次操作不超过5000行或列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/ugDNzUjL4QzM14CO0MTN
修改保护范围,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/protected_range_batch_update,根据保护范围ID修改保护范围，单次最多支持同时修改10个ID。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uUTM5YjL1ETO24SNxkjN
获取保护范围,GET,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/protected_range_batch_get,根据保护范围ID查询详细的保护行列信息，最多支持同时查询5个ID。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uQTM5YjL0ETO24CNxkjN
删除保护范围,DELETE,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/protected_range_batch_del,根据保护范围ID删除保护范围，最多支持同时删除10个ID。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uYTM5YjL2ETO24iNxkjN
设置下拉列表,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/dataValidation,根据 spreadsheetToken 、range 和下拉列表属性给单元格设置下拉列表规则；单次设置范围不超过5000行，100列。当一个数据区域中已有数据，支持将有效数据直接转为选项。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATMzUjLwEzM14CMxMTN/datavalidation/set-dropdown
更新下拉列表设置,PUT,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/dataValidation/:sheetId/:dataValidationId,根据 spreadsheetToken 、sheetId、dataValidationId 更新下拉列表的属性。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATMzUjLwEzM14CMxMTN/datavalidation/update-datavalidation
查询下拉列表设置,GET,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/dataValidation,根据 spreadsheetToken 、range 查询range内的下拉列表设置信息；单次查询范围不超过5000行，100列。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATMzUjLwEzM14CMxMTN/datavalidation/query-datavalidation
删除下拉列表设置,DELETE,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/dataValidation,根据 spreadsheetToken 、range 移除选定数据范围单元格的下拉列表设置，但保留选项文本。单个删除范围不超过5000单元格。单次请求range最大数量100个。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATMzUjLwEzM14CMxMTN/datavalidation/delete-datavalidation
批量创建条件格式,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/condition_formats/batch_create,创建新的条件格式，单次最多支持增加10个条件格式，每个条件格式的设置会返回成功或者失败，失败的情况包括各种参数的校验。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATMzUjLwEzM14CMxMTN/conditionformat/condition-format-set
批量更新条件格式,POST,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/condition_formats/batch_update,更新已有的条件格式，单次最多支持更新10个条件格式，每个条件格式的更新会返回成功或者失败，失败的情况包括各种参数的校验。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATMzUjLwEzM14CMxMTN/conditionformat/condition-format-update
批量获取条件格式,GET,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/condition_formats,根据sheetId查询详细的条件格式信息，最多支持同时查询10个sheetId。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATMzUjLwEzM14CMxMTN/conditionformat/condition-format-get
批量删除条件格式,DELETE,/open-apis/sheets/v2/spreadsheets/:spreadsheetToken/condition_formats/batch_delete,删除已有的条件格式，单次最多支持删除10个条件格式，每个条件格式的删除会返回成功或者失败，失败的情况包括各种参数的校验。,是,是,https://open.feishu.cn/document/ukTMukTMukTM/uATMzUjLwEzM14CMxMTN/conditionformat/condition-format-delete
